dataset,dataset_size,model,architecture,optimizer,learning_rate,batch_size,param_count,param_count_log10,learning_rate_log10,batch_size_log10,gradient_norm_log10,ntk_trace_proxy_log10,initial_loss_log10,T_conv,patience_P,min_delta,max_epochs,val_loss_prefix
STL10,5000,asmlp,MLP,AdamW,0.0005,128,2007690,6.302696656,-3.301029995,2.10720997,0.506861329,1.013722665,0.369335079,37,5,0.0001,250,"[1.9453908503055573, 1.7683828622102737, 1.717530757188797, 1.9089863747358322, 1.6603473871946335, 1.6345085203647614, 1.616995394229889, 1.5919080078601837, 1.5461698174476624, 1.5639208108186722, 1.5994367599487305, 1.5405020713806152, 1.5304387658834457, 1.6090238392353058, 1.5649563521146774, 1.4488535076379776, 1.4417049884796143, 1.4353778064250946, 1.426443874835968, 1.4403668493032455]"
STL10,5000,asmlp,MLP,SGD,0.0005,128,2007690,6.302696656,-3.301029995,2.10720997,0.482219057,0.964438172,0.367765713,60,5,0.0001,250,"[2.1389223635196686, 2.0758790969848633, 2.047774374485016, 2.029777228832245, 2.0143595933914185, 1.999851554632187, 1.9853913187980652, 1.968570202589035, 1.9545694589614868, 1.9347829222679138, 1.9180138558149338, 1.9004483222961426, 1.878538578748703, 1.8566581904888153, 1.8325677514076233, 1.8220709264278412, 1.786568209528923, 1.765318974852562, 1.7349701672792435, 1.7294477820396423]"
STL10,5000,asmlp,MLP,AdamW,0.0005,256,2007690,6.302696656,-3.301029995,2.408239965,0.456572514,0.913145041,0.369728702,31,5,0.0001,250,"[1.965309053659439, 1.844243198633194, 1.7542106211185455, 1.715903788805008, 1.673754245042801, 1.6437074542045593, 1.581438422203064, 1.5619201362133026, 1.5826951563358307, 1.555987924337387, 1.5935182571411133, 1.543041467666626, 1.4747176766395569, 1.490052193403244, 1.491074115037918, 1.4566401541233063, 1.4510689675807953, 1.4758246541023254, 1.453250527381897, 1.4096736311912537]"
STL10,5000,asmlp,MLP,SGD,0.0005,256,2007690,6.302696656,-3.301029995,2.408239965,0.420714048,0.841428071,0.362997131,101,5,0.0001,250,"[2.2322692275047302, 2.1589574217796326, 2.1170138716697693, 2.087465465068817, 2.066080093383789, 2.0489187836647034, 2.0371888279914856, 2.0262371301651, 2.0156305134296417, 2.0070806741714478, 1.996100753545761, 1.987870305776596, 1.978316754102707, 1.969772458076477, 1.9621045589447021, 1.9501996636390686, 1.940492957830429, 1.928649216890335, 1.9190771281719208, 1.9092719554901123]"
STL10,5000,asmlp,MLP,AdamW,0.001,64,2007690,6.302696656,-3,1.806179974,0.464006495,0.928012988,0.357254054,19,5,0.0001,250,"[1.9461863487958908, 1.9699681475758553, 1.8322415947914124, 1.8085885420441628, 1.7377215847373009, 1.6855485513806343, 1.6805360093712807, 1.7634154260158539, 1.7254193127155304, 1.6738736107945442, 1.6868984028697014, 1.6528145372867584, 1.6437338590621948, 1.6290577873587608, 1.6819145679473877, 1.651432380080223, 1.650423489511013, 1.670412965118885, 1.6706653907895088]"
STL10,5000,asmlp,MLP,SGD,0.001,64,2007690,6.302696656,-3,1.806179974,0.488215472,0.976430939,0.359996099,60,5,0.0001,250,"[2.0351563692092896, 1.9654552415013313, 1.9145358428359032, 1.8646797984838486, 1.7923013269901276, 1.7857783734798431, 1.7047003954648972, 1.7277798056602478, 1.6561900973320007, 1.6266988441348076, 1.6158376932144165, 1.589793860912323, 1.6091368272900581, 1.5953959822654724, 1.5599423199892044, 1.5859224945306778, 1.599430650472641, 1.5536953583359718, 1.5439843609929085, 1.5503996685147285]"
STL10,5000,asmlp,MLP,AdamW,0.001,128,2007690,6.302696656,-3,2.10720997,0.429153865,0.858307751,0.376459324,17,5,0.0001,250,"[1.992513969540596, 1.884568527340889, 1.7319216281175613, 1.7411764115095139, 1.7325126081705093, 1.715058371424675, 1.6821014732122421, 1.6532116681337357, 1.7276077568531036, 1.7131415009498596, 1.7224429696798325, 1.5860799998044968, 1.6169785261154175, 1.6564847379922867, 1.6624358147382736, 1.672404944896698, 1.5869828909635544]"
STL10,5000,asmlp,MLP,SGD,0.001,128,2007690,6.302696656,-3,2.10720997,0.462237777,0.924475561,0.381487847,51,5,0.0001,250,"[2.1131511926651, 2.041743054986, 2.0115943402051926, 1.982166737318039, 1.9493253827095032, 1.9320973306894302, 1.8950288444757462, 1.8657319992780685, 1.8244231343269348, 1.782751888036728, 1.7496130615472794, 1.7518001645803452, 1.7415039539337158, 1.7069311738014221, 1.698526993393898, 1.6914608478546143, 1.6458193957805634, 1.629769816994667, 1.6349163055419922, 1.6260165572166443]"
STL10,5000,asmlp,MLP,AdamW,0.001,256,2007690,6.302696656,-3,2.408239965,0.426973641,0.853947247,0.374026065,35,5,0.0001,250,"[2.042398154735565, 1.9699546992778778, 1.8311968445777893, 1.8047398924827576, 1.7226780354976654, 1.6773501932621002, 1.6886664032936096, 1.7243897318840027, 1.683364361524582, 1.6354391872882843, 1.6161100566387177, 1.6556786000728607, 1.5966749489307404, 1.5642064213752747, 1.55914705991745, 1.5777643918991089, 1.5473595261573792, 1.506464570760727, 1.5044965147972107, 1.5237074494361877]"
STL10,5000,asmlp,MLP,SGD,0.001,256,2007690,6.302696656,-3,2.408239965,0.507025801,1.014051601,0.382155254,55,5,0.0001,250,"[2.1897535920143127, 2.122458815574646, 2.080470621585846, 2.056593179702759, 2.038534998893738, 2.0250667333602905, 2.007424831390381, 1.9951796531677246, 1.9790951311588287, 1.9637844562530518, 1.9495638608932495, 1.9296187460422516, 1.909413069486618, 1.8904720842838287, 1.870496541261673, 1.851464956998825, 1.839717149734497, 1.8375668227672577, 1.8051633536815643, 1.7879678308963776]"
STL10,5000,asmlp,MLP,AdamW,0.002,64,2007690,6.302696656,-2.698970004,1.806179974,0.523265301,1.046530594,0.377695726,24,5,0.0001,250,"[2.1141238510608673, 1.9432265684008598, 1.8287140280008316, 1.7691100165247917, 1.7372288182377815, 1.7659773379564285, 1.7457166016101837, 1.7373670414090157, 1.7342971712350845, 1.6981834173202515, 1.757229819893837, 1.8432496413588524, 1.8122574761509895, 1.7377434447407722, 1.6734551340341568, 1.7078991532325745, 1.7445715889334679, 1.6811407059431076, 1.6492992490530014, 1.7495945245027542]"
STL10,5000,asmlp,MLP,SGD,0.002,64,2007690,6.302696656,-2.698970004,1.806179974,0.458702169,0.917404307,0.364474696,45,5,0.0001,250,"[2.025913283228874, 1.9486685320734978, 1.8385040536522865, 1.7868500277400017, 1.737669661641121, 1.6883822530508041, 1.675200030207634, 1.643310360610485, 1.5986309051513672, 1.6139047890901566, 1.596279300749302, 1.6123706325888634, 1.5856462568044662, 1.6143782138824463, 1.5834384188055992, 1.5721698328852654, 1.5462986901402473, 1.6094396486878395, 1.5266221687197685, 1.5430445298552513]"
STL10,5000,asmlp,MLP,AdamW,0.002,128,2007690,6.302696656,-2.698970004,2.10720997,0.341814417,0.683628873,0.350670267,13,5,0.0001,250,"[2.0874228477478027, 1.9242124557495117, 1.8857056200504303, 1.8267904967069626, 1.7494256347417831, 1.789420485496521, 1.759431704878807, 1.7153673321008682, 1.7769248634576797, 1.7489202469587326, 1.8618957698345184, 1.7232893705368042, 1.7634318321943283]"
STL10,5000,asmlp,MLP,SGD,0.002,128,2007690,6.302696656,-2.698970004,2.10720997,0.406935897,0.813871784,0.3733385,41,5,0.0001,250,"[2.0759970247745514, 2.0277489721775055, 1.9670198559761047, 1.9116057008504868, 1.868130847811699, 1.8273615837097168, 1.7983304411172867, 1.7334716022014618, 1.6663507372140884, 1.6905204951763153, 1.6475301086902618, 1.6250559091567993, 1.6513841897249222, 1.6050291061401367, 1.5950693488121033, 1.621975615620613, 1.5973989069461823, 1.5822522044181824, 1.5705546140670776, 1.643866315484047]"
STL10,5000,asmlp,MLP,AdamW,0.002,256,2007690,6.302696656,-2.698970004,2.408239965,0.476516311,0.95303263,0.370393098,20,5,0.0001,250,"[2.045682966709137, 1.9860210418701172, 1.8500288426876068, 1.8015991151332855, 1.9370268881320953, 1.799182116985321, 1.7214085459709167, 1.7102684080600739, 1.7426836788654327, 1.7116683721542358, 1.7443399131298065, 1.7162035405635834, 1.6925585865974426, 1.686484009027481, 1.6519924402236938, 1.700666069984436, 1.6580151915550232, 1.6873713731765747, 1.6736964881420135, 1.6710807085037231]"
STL10,5000,asmlp,MLP,SGD,0.002,256,2007690,6.302696656,-2.698970004,2.408239965,0.455730569,0.911461127,0.375702067,38,5,0.0001,250,"[2.130394160747528, 2.050027906894684, 2.0258606672286987, 1.9948397874832153, 1.9732222855091095, 1.9458967447280884, 1.930543065071106, 1.9001604616641998, 1.8757446706295013, 1.8462128341197968, 1.8010658621788025, 1.7711789011955261, 1.7573543787002563, 1.7255443036556244, 1.6802478432655334, 1.7307801246643066, 1.7000519335269928, 1.6447841823101044, 1.6329331398010254, 1.6257370710372925]"
TinyImageNet,100000,mixer,MLP,AdamW,0.0005,64,1538760,6.187170888,-3.301029995,1.806179974,0.196382628,0.392765243,0.727063775,12,5,0.0001,250,"[3.944111661546549, 3.445126109821781, 3.2265592426251453, 3.034587076515149, 2.9622634186106884, 2.9258265950877194, 2.925640050013354, 2.968826371393386, 3.029915109561507, 3.1556967367791824, 3.3461929977319804, 3.6358508820746356]"
TinyImageNet,100000,mixer,MLP,SGD,0.0005,64,1538760,6.187170888,-3.301029995,1.806179974,0.163261808,0.326523643,0.725298827,33,5,0.0001,250,"[5.069754491186446, 4.925609142157682, 4.764561953817963, 4.571593284606934, 4.383341772541119, 4.238153281485199, 4.092010508677003, 3.980641050703207, 3.9056445185545905, 3.8221877304611693, 3.7685354697476527, 3.7162107236825737, 3.645170312018911, 3.6048287024163894, 3.5851891815282735, 3.5034050334031415, 3.475327431016667, 3.4211568984256426, 3.396108786771252, 3.3696012755108486]"
TinyImageNet,100000,mixer,MLP,AdamW,0.0005,128,1538760,6.187170888,-3.301029995,2.10720997,0.156076998,0.312154005,0.722926706,11,5,0.0001,250,"[4.078832928138443, 3.526403490501114, 3.252816127825387, 3.082280077511751, 2.969954065129727, 2.9336453027363065, 2.947077361843254, 2.9508638321598872, 3.075175282321399, 3.252449983282934, 3.47699431528019]"
TinyImageNet,100000,mixer,MLP,SGD,0.0005,128,1538760,6.187170888,-3.301029995,2.10720997,0.173096411,0.346192833,0.725228421,45,5,0.0001,250,"[5.172003341626517, 5.042963462539866, 4.958225974553748, 4.88646317735503, 4.794870394694654, 4.6769412378721595, 4.562317932708354, 4.45012216930148, 4.344489999964267, 4.2681679906724375, 4.180381014377256, 4.127273330205603, 4.050417691846437, 4.007968739618229, 3.9384835007824477, 3.885908262639106, 3.8428690825836567, 3.8055337048784086, 3.7668775214424617, 3.7484047111076646]"
TinyImageNet,100000,mixer,MLP,AdamW,0.0005,256,1538760,6.187170888,-3.301029995,2.408239965,0.164853776,0.329707576,0.724184211,11,5,0.0001,250,"[4.150065815448761, 3.653849643468857, 3.3773153007030485, 3.194770848751068, 3.0928305208683016, 3.0346264004707337, 3.0438568711280825, 3.0347685873508454, 3.1165154814720153, 3.219759166240692, 3.4461819231510162]"
