dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.09047978590129505,0.20097896008074956,-7.600902459542082,11.002099841204238,38,True,,0.8779604226696709,-1.4525409085042251,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.47375939338350354,0.5763263383039643,-7.600902459542082,11.002099841204238,37,True,,0.8457743978797202,-1.497529606648726,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.2407784981590559,0.3539840942790033,-7.600902459542082,11.002099841204238,29,True,,0.8522100730240432,-1.5524212865716132,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.34695032136110343,0.44540359811530167,-7.600902459542082,11.002099841204238,11,True,,0.8868892286999778,-1.6646724117170613,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4973278741374371,0.6016517831506959,-7.600902459542082,11.002099841204238,40,True,,0.8472743247905066,-1.4881433422492205,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.024970833442736023,0.1287699601089888,-7.600902459542082,11.002099841204238,28,True,,0.8480247727886151,-1.4823368136129158,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.06333043768565166,0.16818659562911284,-7.600902459542082,11.002099841204238,33,True,,0.8833233445611234,-1.49181015230924,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.3612249858938952,0.4593900037499674,-7.600902459542082,11.002099841204238,38,True,,0.8380688292000088,-1.4951105855155309,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.03202356745905566,0.13677954644137347,-7.600902459542082,11.002099841204238,29,True,,0.8404867016541532,-1.4750456908564777,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.16177708992037476,0.2651478014829702,-7.600902459542082,11.002099841204238,27,True,,0.8326332242165069,-1.4939409019482157,resnet_mini,"[1, 1, 1]",proj_block
