dataset,architecture,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.935009330985205,8.92623052277748,-7.600902459542082,11.002099841204238,49,True,,1.0457643513746175,-1.456284996807142
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.67327955240691,8.544805751983402,-7.600902459542082,11.002099841204238,49,True,,1.1356260768109443,-1.370754845242569
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.530298578065689,7.422486972610895,-7.600902459542082,11.002099841204238,30,True,,0.9758448705418705,-1.3964025476637676
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.631198389537591,7.7560278294354985,-7.600902459542082,11.002099841204238,25,True,,1.127112742664573,-1.2176345608954802
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.865731570556447,8.740742629585514,-7.600902459542082,11.002099841204238,50,True,,1.1456508061276987,-1.3081545759254056
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.420855343664239,7.465168776406513,-7.600902459542082,11.002099841204238,42,True,,0.880856997990206,-1.5267156856260118
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.7544835480579,7.754678351432713,-7.600902459542082,11.002099841204238,30,True,,0.9737018109944376,-1.3517981796004395
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.062346430864904,8.95606402347741,-7.600902459542082,11.002099841204238,38,True,,1.219432715918439,-1.2189804156323618
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,8.09080245036709,7.7916142021958255,-7.600902459542082,11.002099841204238,28,True,,1.0199963125216764,-1.28616995784851
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.111039552007934,9.050107779811906,-7.600902459542082,11.002099841204238,52,True,,1.0908431996954446,-1.391588247686496
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.34817913617301,8.45373082604132,-7.600902459542082,11.002099841204238,34,True,,0.9750274067965815,-1.4152621392486051
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,6.958787530179937,6.9891348389237296,-7.600902459542082,11.002099841204238,22,True,,0.9567835706661066,-1.4028880004074522
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.105584535252476,9.057004654369887,-7.600902459542082,11.002099841204238,35,True,,1.0565639617377847,-1.468866563434594
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.617810707998545,7.717487155813133,-7.600902459542082,11.002099841204238,24,True,,1.174650948726505,-1.2724890544360914
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.054599266746806,7.179646749979278,-7.600902459542082,11.002099841204238,29,True,,0.9184541842949293,-1.4687895314671957
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.401821010106646,9.343788291726073,-7.600902459542082,11.002099841204238,28,True,,1.2071966717860614,-1.5975000706158289
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.2768561294229634,7.139245939504962,-7.600902459542082,11.002099841204238,23,True,,1.0759666402788888,-1.3953879186862668
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.9433620458088985,7.725497915977724,-7.600902459542082,11.002099841204238,29,True,,0.9813103553630226,-1.5857472410626836
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.005969553530921,8.94655520531665,-7.600902459542082,11.002099841204238,40,True,,1.129265337895147,-1.3505372037309606
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.7165452118709625,7.706332464362629,-7.600902459542082,11.002099841204238,23,True,,1.2984192541991761,-1.1499972654762025
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.243048863185663,7.3122384063867685,-7.600902459542082,11.002099841204238,27,True,,0.9762421247676064,-1.3284206626419515
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.76574769719434,8.843047431849216,-7.600902459542082,11.002099841204238,34,True,,0.8890014242188333,-1.2462736333159172
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.346968931209619,7.462365117132056,-7.600902459542082,11.002099841204238,28,True,,0.8412109043070441,-1.1187034673177516
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,6.959855473108922,6.937705851656184,-7.600902459542082,11.002099841204238,19,True,,1.0230415579156735,-0.9949277930844102
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,9.050770076855867,9.094237809824431,-7.600902459542082,11.002099841204238,33,True,,1.3251661432617057,-0.6935711190381625
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.108340148742658,7.160820907941686,-7.600902459542082,11.002099841204238,25,True,,0.9461330222293117,-1.0812581016983223
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.72420422367844,7.824523080573151,-7.600902459542082,11.002099841204238,34,True,,0.9125394839998001,-1.140163331145634
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.305414893722781,7.368280186094305,-7.600902459542082,11.002099841204238,30,True,,0.937563442248285,-0.9916671522435224
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.518502334062846,7.561788161319793,-7.600902459542082,11.002099841204238,23,True,,0.9860672165441702,-1.1831571378859087
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.700435448899823,7.741718036580032,-7.600902459542082,11.002099841204238,25,True,,0.9609099207599217,-1.0102933853063074
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.307317768572898,7.310108193482275,-7.600902459542082,11.002099841204238,26,True,,1.0612358312673853,-0.9783166194742015
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.566740048523969,7.555283611641308,-7.600902459542082,11.002099841204238,31,True,,1.0056143270304885,-0.9622969909638233
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.823497428879184,8.87826502042478,-7.600902459542082,11.002099841204238,41,True,,1.0762837144147537,-1.5462811699970929
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.27186386230464,7.205683244122233,-7.600902459542082,11.002099841204238,33,True,,0.8879124773619975,-1.1044194406021495
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.510554425101183,7.608889318384121,-7.600902459542082,11.002099841204238,22,True,,1.1253672996178423,-0.7736064574747158
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.574508705864075,7.629779144651213,-7.600902459542082,11.002099841204238,25,True,,0.9437794195935808,-1.0677432732627385
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,9.143850558657252,8.99688740866273,-7.600902459542082,11.002099841204238,44,True,,1.3456368643722418,-0.5722256585974647
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.757638158234402,8.80707802399787,-7.600902459542082,11.002099841204238,43,True,,1.010421474961283,-0.9234027160307348
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,9.087084378131257,8.971015160700015,-7.600902459542082,11.002099841204238,35,True,,1.1308254029568985,-0.7979927387364655
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.1719165136761,7.24615386857079,-7.600902459542082,11.002099841204238,26,True,,0.8975448389756885,-1.1419307559334086
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,9.391996875874195,9.541055012505877,-7.600902459542082,11.002099841204238,38,True,,1.0402891531522247,-0.9000409033637183
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.804611873581687,7.699326085808481,-7.600902459542082,11.002099841204238,28,True,,0.9200429721951936,-1.1375846410372186
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.457267118778024,8.476389295881264,-7.600902459542082,11.002099841204238,32,True,,1.0417864274688706,-1.1977873882801962
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.983879355807746,8.614724826078264,-7.600902459542082,11.002099841204238,36,True,,1.3639887039923575,-0.8623543717521706
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.32816553067212,7.369912205619916,-7.600902459542082,11.002099841204238,26,True,,1.1264998113716842,-0.8657807816148033
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.089348634274926,7.078220761182995,-7.600902459542082,11.002099841204238,25,True,,1.060928473461578,-0.857160399439252
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.738621602062942,8.789901107222459,-7.600902459542082,11.002099841204238,35,True,,0.9189361554348926,-1.0620301599634583
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.374251047211106,7.398417259113887,-7.600902459542082,11.002099841204238,27,True,,0.983314031461878,-0.9175419303370164
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.4071042677640095,7.429047531746131,-7.600902459542082,11.002099841204238,27,True,,1.0106446128124071,-0.8978201804967683
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.316408737108249,7.199377661606227,-7.600902459542082,11.002099841204238,22,True,,1.2779234299780073,-0.6537127525741139
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.542023626567783,7.519633744185143,-7.600902459542082,11.002099841204238,24,True,,0.9217269405376544,-1.0301372294836146
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.324429513185783,7.322884587306841,-7.600902459542082,11.002099841204238,27,True,,0.9584811744078023,-1.0373260918635785
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.270630993706122,7.173013145172538,-7.600902459542082,11.002099841204238,17,True,,1.1891482671566371,-0.8082239711295638
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.358653365525592,7.353181630411132,-7.600902459542082,11.002099841204238,22,True,,1.0817439231882802,-1.0357777264020565
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.3222412991114485,7.281619091595868,-7.600902459542082,11.002099841204238,25,True,,1.2173070450825212,-0.717655585571619
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.299910518968846,7.304653354625865,-7.600902459542082,11.002099841204238,21,True,,1.0575142103734358,-0.8553823340444551
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.670606704631463,7.5896903400025835,-7.600902459542082,11.002099841204238,21,True,,0.9796867245923467,-1.0144954228196863
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.7492164416971905,7.673862041993841,-7.600902459542082,11.002099841204238,26,True,,0.9658175878008353,-0.9805947560993002
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.61367585420358,8.734104228576637,-7.600902459542082,11.002099841204238,27,True,,0.9131191274496679,-1.016512110972859
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.86923296813187,8.570046095700956,-7.600902459542082,11.002099841204238,44,True,,1.2293346257955062,-0.7514961588087747
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,9.155381496247244,9.208587408209926,-7.600902459542082,11.002099841204238,36,True,,1.052902998899213,-0.9938111223128304
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.253408150293075,7.175701014436215,-7.600902459542082,11.002099841204238,25,True,,1.0579445490047485,-0.9406751297832894
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.212203423623647,7.259749761675331,-7.600902459542082,11.002099841204238,24,True,,0.9838744026928269,-0.9989836403267083
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.138682722493166,7.15563888543032,-7.600902459542082,11.002099841204238,24,True,,0.9704606535750995,-1.1244041484526737
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.500047674719434,7.527249737409861,-7.600902459542082,11.002099841204238,25,True,,0.9360972673574455,-1.0247971501735396
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.311715511843754,7.275829706677466,-7.600902459542082,11.002099841204238,17,True,,1.069016370322834,-0.9409771195238128
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.783792760476176,8.87430485913009,-7.600902459542082,11.002099841204238,42,True,,0.9799240747561023,-1.1491699057722644
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.898957366734222,7.866742672870128,-7.600902459542082,11.002099841204238,19,True,,1.1333311786434224,-0.8806979113109792
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.789529797300653,7.7261257130255165,-7.600902459542082,11.002099841204238,27,True,,1.1938915313770477,-0.8774236766356471
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.680215055261586,7.5400040823778225,-7.600902459542082,11.002099841204238,30,True,,1.060351375786167,-0.9988613643605444
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.930947992926642,8.745317980292045,-7.600902459542082,11.002099841204238,45,True,,1.2416669416159514,-0.7469106033707965
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.991766780579937,9.078324597451427,-7.600902459542082,11.002099841204238,44,True,,1.0739038966169496,-1.0788703091839524
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.287547161412627,8.21738816804324,-7.600902459542082,11.002099841204238,46,True,,1.1636534635339677,-0.908447779909633
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.578974271370474,7.598974208150804,-7.600902459542082,11.002099841204238,26,True,,0.9755021996095983,-1.095158805229895
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.382428970512126,7.403139971548118,-7.600902459542082,11.002099841204238,33,True,,1.1827545703906235,-0.7619711467489063
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.235160356972002,7.145522273021612,-7.600902459542082,11.002099841204238,21,True,,1.1180355371911168,-0.9973159557684006
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.29199420750393,7.3087807419501605,-7.600902459542082,11.002099841204238,27,True,,0.8488627048459417,-1.1916226680804247
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,8.871296424968673,8.894357085520676,-7.600902459542082,11.002099841204238,39,True,,1.1087745676995568,-0.8613431345296882
MNIST,CCT-Small,0.0005,32,0.15,13.3693390736518,3.4657359027997265,7.767989572482488,7.737399783255962,-7.600902459542082,11.002099841204238,30,True,,0.8971379940620575,-1.1902988031138626
MNIST,PiT-XS,0.0005,32,0.15,13.56509087213907,3.4657359027997265,7.244085038602341,7.0668989872878445,-7.600902459542082,11.002099841204238,26,True,,1.189118430657384,-0.8259170137048959
MNIST,ViT-Tiny-32/4,0.0005,32,0.15,14.40692286449944,3.4657359027997265,9.246864103427313,8.984647995254203,-7.600902459542082,11.002099841204238,30,True,,1.2202917129722313,-0.709744274164872
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,8.389863416918201,8.436084034194133,-7.600902459542082,11.002099841204238,47,True,,0.996939147370747,-0.6591295178301049
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.0719009316851045,7.204820561178971,-7.600902459542082,11.002099841204238,32,True,,0.8205818271886277,-0.9301006654208611
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,8.683782754988787,8.602043850777012,-7.600902459542082,11.002099841204238,41,True,,1.1908673345025764,-0.5958991061273728
MNIST,CCT-Small,0.0005,32,0.2,13.3693390736518,3.4657359027997265,7.469266227363471,7.527482822947881,-7.600902459542082,11.002099841204238,20,True,,1.0414330620720837,-0.5755203477628581
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,8.65605889674618,8.619470799699636,-7.600902459542082,11.002099841204238,38,True,,1.1286120788336589,-0.5722187925560971
MNIST,CCT-Small,0.0005,32,0.2,13.3693390736518,3.4657359027997265,7.383399314883044,7.420615876453467,-7.600902459542082,11.002099841204238,20,True,,1.0878868575195968,-0.6294269039298932
MNIST,CCT-Small,0.0005,32,0.2,13.3693390736518,3.4657359027997265,7.355140241876139,7.448848934527369,-7.600902459542082,11.002099841204238,26,True,,0.8562100333021583,-0.8257529839131788
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.284877168613504,7.301852509430387,-7.600902459542082,11.002099841204238,26,True,,1.0551257709407977,-0.6224108283441723
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.31626924462721,7.379947580462575,-7.600902459542082,11.002099841204238,27,True,,0.9278689526511773,-0.7848021421021083
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.808228500021385,7.7647205982031435,-7.600902459542082,11.002099841204238,28,True,,1.0639536276741142,-0.6500184689806807
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,9.010859873032622,8.800807156885433,-7.600902459542082,11.002099841204238,40,True,,1.319892341747031,-0.439481876033336
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.244892188218605,7.248291123932905,-7.600902459542082,11.002099841204238,28,True,,0.8741331388969865,-0.8242015453730543
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.234588874497457,7.197629907572882,-7.600902459542082,11.002099841204238,20,True,,1.203948175383425,-0.4391747286389712
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,8.602191263133587,8.658324531855678,-7.600902459542082,11.002099841204238,33,True,,0.9004916078683837,-0.9103697210351909
MNIST,PiT-XS,0.0005,32,0.2,13.56509087213907,3.4657359027997265,7.233467983631976,7.239158692403609,-7.600902459542082,11.002099841204238,23,True,,1.059803770315689,-0.557603370927223
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,9.037649727060737,9.066976893024492,-7.600902459542082,11.002099841204238,40,True,,0.959542541776014,-0.7214940395458647
MNIST,ViT-Tiny-32/4,0.0005,32,0.2,14.40692286449944,3.4657359027997265,8.630599595435067,8.647105868055904,-7.600902459542082,11.002099841204238,39,True,,1.185669335018253,-0.620638751483297
MNIST,CCT-Small,0.0005,32,0.2,13.3693390736518,3.4657359027997265,7.664549724859735,7.685438191196171,-7.600902459542082,11.002099841204238,30,True,,0.9412850322017757,-0.7550683058903442
MNIST,CCT-Small,0.0005,32,0.2,13.3693390736518,3.4657359027997265,7.581426183273043,7.649865969420038,-7.600902459542082,11.002099841204238,31,True,,1.0561401596748574,-0.6770173446811901
