dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.272529224180253,5.370490942988806,-7.600902459542082,11.002099841204238,5,True,,0.980542960727467,-0.9872488900484017
MNIST,0.0005,32,0.15,12.507457899065408,3.4657359027997265,6.096624726151421,6.0820459907894096,-7.600902459542082,11.002099841204238,9,True,,1.0214427048991959,-1.2669301126572805
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.271963199374199,5.326166128208368,-7.600902459542082,11.002099841204238,28,True,,0.9646273892070482,-0.9342010120357029
MNIST,0.0005,32,0.15,12.507457899065408,3.4657359027997265,6.167690370384719,6.231774097305594,-7.600902459542082,11.002099841204238,10,True,,1.073261533546309,-1.0342655396478135
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.022720774539145,6.142551393144355,-7.600902459542082,11.002099841204238,18,True,,0.9896656456854449,-0.9093308192016885
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.342869548154359,6.416510765560981,-7.600902459542082,11.002099841204238,5,True,,1.0133481629488574,-1.1434323524849912
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.207817750852944,5.219918022386709,-7.600902459542082,11.002099841204238,27,True,,1.006140637829855,-1.111402911620406
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.12737423376981,6.089175399208097,-7.600902459542082,11.002099841204238,18,True,,1.0553896923395663,-0.8921134047889503
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.425280733382253,5.501250782075407,-7.600902459542082,11.002099841204238,25,True,,1.1137008802927701,-0.8818954850545954
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.316945966717565,6.385021012248446,-7.600902459542082,11.002099841204238,5,True,,1.1010512744826377,-1.1414487350056373
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.684424736299206,5.809209497349212,-7.600902459542082,11.002099841204238,11,True,,0.9822530581509897,-0.9675854505000213
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.014201534058611,6.071324266085763,-7.600902459542082,11.002099841204238,19,True,,1.002039497670316,-0.9665326481486478
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.777277789773243,5.889815916668321,-7.600902459542082,11.002099841204238,5,True,,0.9963750482260588,-1.2668563752893336
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.543826929186916,5.625190406413909,-7.600902459542082,11.002099841204238,12,True,,1.0059431729556207,-0.9547468548364824
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.27915570041976,5.338363942634964,-7.600902459542082,11.002099841204238,11,True,,1.0511766520968076,-0.9894146594685561
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.048597434502531,6.141757172709806,-7.600902459542082,11.002099841204238,19,True,,0.9692771474054187,-0.9805109354041917
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,5.8011539214596475,5.911809650094719,-7.600902459542082,11.002099841204238,16,True,,0.8636999001389898,-1.09912111393857
