dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.15,12.65636452,3.465735903,0.370453747,3.931943774,-7.60090246,11.00209984,0.831137639,-1.141343662,23,TRUE
MNIST,0.0005,50,0.15,12.24472589,3.465735903,0.354305236,3.921910418,-7.60090246,11.00209984,0.832539278,-1.090003233,35,TRUE
MNIST,0.0005,50,0.15,11.3581179,3.465735903,0.3223859,3.890356549,-7.60090246,11.00209984,0.831912846,-1.095296829,57,TRUE
MNIST,0.0005,50,0.15,15.00704776,3.465735903,1.223473273,4.763269127,-7.60090246,11.00209984,0.830885058,-1.150921492,17,TRUE
MNIST,0.0005,50,0.15,14.983015,3.465735903,5.537422138,9.126370604,-7.60090246,11.00209984,0.831394412,-1.200551951,17,TRUE
MNIST,0.0005,50,0.15,14.99650436,3.465735903,2.00603734,5.525739538,-7.60090246,11.00209984,0.839908362,-1.1006134,25,TRUE
MNIST,0.0005,50,0.15,15.68407704,3.465735903,1.132702928,4.684329847,-7.60090246,11.00209984,0.837299207,-1.385622485,14,TRUE
MNIST,0.0005,50,0.15,16.36867957,3.465735903,6.305053807,9.894473066,-7.60090246,11.00209984,0.838985309,-1.164576042,14,TRUE
MNIST,0.0005,50,0.15,13.61941051,3.465735903,1.336620007,4.918242848,-7.60090246,11.00209984,0.836028758,-1.184249672,35,TRUE
MNIST,0.0005,50,0.15,11.76795521,3.465735903,1.444322246,5.015684715,-7.60090246,11.00209984,0.83645731,-1.188375504,32,TRUE
MNIST,0.0005,50,0.15,12.41254195,3.465735903,0.343949276,3.910551293,-7.60090246,11.00209984,0.833914826,-1.245358347,52,TRUE
MNIST,0.0005,50,0.15,15.0810222,3.465735903,0.794106123,4.376424479,-7.60090246,11.00209984,0.829948333,-1.444340472,16,TRUE
MNIST,0.0005,50,0.15,15.69455934,3.465735903,0.978918277,4.545085452,-7.60090246,11.00209984,0.833180137,-1.397473538,13,TRUE
MNIST,0.0005,50,0.15,12.96891845,3.465735903,0.972255527,4.531251312,-7.60090246,11.00209984,0.831243243,-1.170328397,24,TRUE
MNIST,0.0005,50,0.15,14.29720187,3.465735903,1.779611503,5.326065883,-7.60090246,11.00209984,0.836499763,-1.131399,28,TRUE
MNIST,0.0005,50,0.15,14.35269258,3.465735903,2.625078254,6.181972751,-7.60090246,11.00209984,0.838729241,-1.160778595,14,TRUE
MNIST,0.0005,50,0.15,14.29001031,3.465735903,4.118227876,7.707423945,-7.60090246,11.00209984,0.827211907,-1.12648484,18,TRUE
MNIST,0.0005,50,0.15,14.34142773,3.465735903,1.102324917,4.67223158,-7.60090246,11.00209984,0.83214805,-1.206639751,27,TRUE
MNIST,0.0005,50,0.15,11.47437173,3.465735903,0.63567278,4.201779658,-7.60090246,11.00209984,0.830816502,-1.074140377,46,TRUE
MNIST,0.0005,50,0.15,14.35209398,3.465735903,2.810042405,6.350881862,-7.60090246,11.00209984,0.836206276,-1.076489691,16,TRUE
MNIST,0.0005,50,0.15,14.3386058,3.465735903,1.156837115,4.726602875,-7.60090246,11.00209984,0.831040852,-1.253069637,23,TRUE
MNIST,0.0005,50,0.15,14.67982819,3.465735903,0.382521036,3.954117273,-7.60090246,11.00209984,0.834677226,-1.551442757,19,TRUE
MNIST,0.0005,50,0.15,11.55454714,3.465735903,1.556070916,5.133902404,-7.60090246,11.00209984,0.836160505,-1.10258525,59,TRUE
MNIST,0.0005,50,0.15,14.29883137,3.465735903,1.597402438,5.162356442,-7.60090246,11.00209984,0.834581298,-1.151908434,29,TRUE
MNIST,0.0005,50,0.15,14.29001031,3.465735903,4.464530792,8.067964849,-7.60090246,11.00209984,0.836029998,-1.117710012,25,TRUE
MNIST,0.0005,50,0.15,14.29130365,3.465735903,3.926508277,7.505082089,-7.60090246,11.00209984,0.832519056,-1.150200682,17,TRUE
MNIST,0.0005,50,0.15,13.8434778,3.465735903,1.02245159,4.624529046,-7.60090246,11.00209984,0.82511695,-1.29454564,23,TRUE
MNIST,0.0005,50,0.15,12.30331732,3.465735903,0.465709539,4.030261584,-7.60090246,11.00209984,0.833628039,-1.203748676,39,TRUE
MNIST,0.0005,50,0.15,12.92537965,3.465735903,1.743143053,5.340901405,-7.60090246,11.00209984,0.832797247,-1.106438285,56,TRUE
MNIST,0.0005,50,0.15,17.06185625,3.465735903,5.846257051,9.443084342,-7.60090246,11.00209984,0.840824804,-1.345222383,5,TRUE
MNIST,0.0005,50,0.15,13.72634924,3.465735903,1.424045955,4.957229116,-7.60090246,11.00209984,0.839787815,-1.164379993,32,TRUE
MNIST,0.0005,50,0.15,11.75082363,3.465735903,0.236656574,3.808255695,-7.60090246,11.00209984,0.835738545,-1.094754913,53,TRUE
MNIST,0.0005,50,0.15,13.04538298,3.465735903,0.931501464,4.495901311,-7.60090246,11.00209984,0.834609239,-1.20645211,37,TRUE
MNIST,0.0005,50,0.15,12.14688512,3.465735903,0.788322434,4.357922921,-7.60090246,11.00209984,0.834214783,-1.101418116,44,TRUE
MNIST,0.0005,50,0.15,14.29094566,3.465735903,4.207086593,7.783623952,-7.60090246,11.00209984,0.83260585,-1.148134554,13,TRUE
MNIST,0.0005,50,0.15,17.06944498,3.465735903,2.384638887,5.927655267,-7.60090246,11.00209984,0.832801393,-1.151851949,9,TRUE
MNIST,0.0005,50,0.15,11.76857493,3.465735903,0.817309149,4.400418511,-7.60090246,11.00209984,0.833971781,-1.080720665,39,TRUE
MNIST,0.0005,50,0.15,14.2899904,3.465735903,4.111175583,7.680537694,-7.60090246,11.00209984,0.8335865,-1.171386612,15,TRUE
MNIST,0.0005,50,0.15,13.01478262,3.465735903,0.495756089,4.069585323,-7.60090246,11.00209984,0.836111012,-1.19085163,35,TRUE
MNIST,0.0005,50,0.15,12.99629663,3.465735903,0.308053233,3.884684652,-7.60090246,11.00209984,0.833106245,-1.177717527,38,TRUE
MNIST,0.0005,50,0.15,13.73886491,3.465735903,1.361503245,4.935404823,-7.60090246,11.00209984,0.834080916,-1.077896977,19,TRUE
MNIST,0.0005,50,0.15,12.19679979,3.465735903,0.660046501,4.229491619,-7.60090246,11.00209984,0.838310942,-1.160088107,35,TRUE
MNIST,0.0005,50,0.15,11.85856979,3.465735903,1.700198873,5.283541955,-7.60090246,11.00209984,0.836054282,-1.215350003,33,TRUE
MNIST,0.0005,50,0.15,17.06177654,3.465735903,6.361014296,9.926724427,-7.60090246,11.00209984,0.83862896,-1.153729162,19,TRUE
MNIST,0.0005,50,0.15,14.55929477,3.465735903,0.28572689,3.861252316,-7.60090246,11.00209984,0.832322317,-1.183961114,24,TRUE
MNIST,0.0005,50,0.15,13.03569376,3.465735903,0.250107143,3.817556946,-7.60090246,11.00209984,0.834746036,-1.180299305,36,TRUE
MNIST,0.0005,50,0.15,15.70047527,3.465735903,2.30144494,5.889719735,-7.60090246,11.00209984,0.837455656,-1.241930887,10,TRUE
MNIST,0.0005,50,0.15,15.67563279,3.465735903,6.06626431,9.666294191,-7.60090246,11.00209984,0.840182034,-1.245316726,14,TRUE
MNIST,0.0005,50,0.15,16.37150502,3.465735903,4.151402146,7.770316959,-7.60090246,11.00209984,0.832238507,-1.128719308,14,TRUE
MNIST,0.0005,50,0.15,14.29098544,3.465735903,4.090374545,7.655615746,-7.60090246,11.00209984,0.832616219,-1.173910912,24,TRUE
MNIST,0.0005,50,0.15,13.61835877,3.465735903,2.658135005,6.225575437,-7.60090246,11.00209984,0.832804815,-1.164781491,36,TRUE
MNIST,0.0005,50,0.15,13.63941518,3.465735903,0.344682749,3.917089341,-7.60090246,11.00209984,0.834429885,-1.16174351,35,TRUE
MNIST,0.0005,50,0.15,12.21520086,3.465735903,3.297701826,6.885285377,-7.60090246,11.00209984,0.835567354,-1.103822859,43,TRUE
MNIST,0.0005,50,0.15,13.65899007,3.465735903,2.903569603,6.524471117,-7.60090246,11.00209984,0.837717311,-1.26615852,19,TRUE
MNIST,0.0005,50,0.15,13.70484935,3.465735903,0.498083124,4.092272331,-7.60090246,11.00209984,0.839196194,-1.100459234,20,TRUE
MNIST,0.0005,50,0.15,14.28967178,3.465735903,5.086286069,8.674153038,-7.60090246,11.00209984,0.836574747,-1.078100169,22,TRUE
MNIST,0.0005,50,0.15,14.32252694,3.465735903,1.975366877,5.551981672,-7.60090246,11.00209984,0.835510284,-1.161792175,13,TRUE
MNIST,0.0005,50,0.15,13.02876014,3.465735903,2.194272543,5.748878372,-7.60090246,11.00209984,0.832956577,-1.103108346,13,TRUE
MNIST,0.0005,50,0.15,16.37127649,3.465735903,3.279024433,6.837568517,-7.60090246,11.00209984,0.841738968,-1.15192852,10,TRUE
MNIST,0.0005,50,0.15,14.31403969,3.465735903,0.953282851,4.527464003,-7.60090246,11.00209984,0.834477806,-1.201909792,24,TRUE
