dataset,transformer,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.390960143,9.914594768,-7.60090246,6.907755279,0.853073359,0.288712702,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.32464215,9.83732718,-7.60090246,6.907755279,0.848990017,0.322381043,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.484112803,10.06710567,-7.60090246,6.907755279,0.864023211,0.284411797,29,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.487534273,10.01968027,-7.60090246,6.907755279,0.872918821,0.329531838,9,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.337386652,9.874531899,-7.60090246,6.907755279,0.855544146,0.175208572,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.384593268,9.93357174,-7.60090246,6.907755279,0.860276768,0.311457435,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.418302141,10.06530652,-7.60090246,6.907755279,0.866068492,0.212369182,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.422541961,9.946820887,-7.60090246,6.907755279,0.839287663,0.267055646,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.407131204,9.957950864,-7.60090246,6.907755279,0.82327196,0.189424135,21,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.387223642,9.951304574,-7.60090246,6.907755279,0.852216072,0.332639372,21,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.297180502,9.862372022,-7.60090246,6.907755279,0.876916816,0.335165599,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.452194779,10.033775,-7.60090246,6.907755279,0.834485154,0.319927805,25,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.43688198,10.00715059,-7.60090246,6.907755279,0.862210334,0.306185888,27,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.425230553,9.981496117,-7.60090246,6.907755279,0.844774185,0.220103772,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.372664344,9.9760935,-7.60090246,6.907755279,0.873617632,0.256880355,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.351977184,9.92672208,-7.60090246,6.907755279,0.867623718,0.269606952,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.365315404,9.94154114,-7.60090246,6.907755279,0.873652167,0.312752484,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.416365732,9.987844979,-7.60090246,6.907755279,0.899200251,0.363759372,30,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.401853612,9.946928237,-7.60090246,6.907755279,0.845320541,0.330259013,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.491024367,9.963583324,-7.60090246,6.907755279,0.852488126,0.306848491,24,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.388994383,9.952231141,-7.60090246,6.907755279,0.862510176,0.34839914,8,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.398177665,9.944377562,-7.60090246,6.907755279,0.820448957,0.254207581,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.404211357,9.949786703,-7.60090246,6.907755279,0.827930366,-0.035177522,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.359520341,9.927294059,-7.60090246,6.907755279,0.821421358,0.012312005,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.385328409,9.909071897,-7.60090246,6.907755279,0.847040301,0.05028366,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.35840976,9.956449767,-7.60090246,6.907755279,0.842555078,0.036945204,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.313470552,9.842133018,-7.60090246,6.907755279,0.833377744,0.101079405,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.481638713,10.0579977,-7.60090246,6.907755279,0.866529871,0.064558913,27,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.484829621,10.06691094,-7.60090246,6.907755279,0.843711343,0.140697432,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.331203124,9.880783181,-7.60090246,6.907755279,0.849851092,0.150134298,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.3651971,9.918049386,-7.60090246,6.907755279,0.85512897,0.161069033,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.461564521,9.949564934,-7.60090246,6.907755279,0.895565235,0.106714269,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.290287136,9.844425434,-7.60090246,6.907755279,0.87106085,0.092381714,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.321548978,9.874725903,-7.60090246,6.907755279,0.882416836,0.171306917,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.327955246,9.89344646,-7.60090246,6.907755279,0.861333442,0.161443203,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.315434141,9.910096805,-7.60090246,6.907755279,0.833825246,0.135590757,49,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.431561654,10.03135042,-7.60090246,6.907755279,0.841677111,0.047335162,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.444967422,10.04655989,-7.60090246,6.907755279,0.853649214,0.147572615,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.566790889,10.07580971,-7.60090246,6.907755279,0.855582147,0.126231031,9,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.518479514,10.08400474,-7.60090246,6.907755279,0.888248947,0.190279454,66,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.441164513,9.982472554,-7.60090246,6.907755279,0.862724006,0.064306088,29,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.377401494,9.989713852,-7.60090246,6.907755279,0.827111194,0.063508522,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.413095555,9.962962654,-7.60090246,6.907755279,0.851602155,0.117109409,23,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.495452198,10.02630198,-7.60090246,6.907755279,0.871029219,0.001090171,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.400114862,10.01328951,-7.60090246,6.907755279,0.869861275,0.115758669,16,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.34336881,9.863341817,-7.60090246,6.907755279,0.850868438,0.114357936,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.370157341,9.921323136,-7.60090246,6.907755279,0.834575089,0.033144473,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.430485015,9.988253955,-7.60090246,6.907755279,0.868441492,-0.024958997,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.442386034,9.988747486,-7.60090246,6.907755279,0.883280173,0.146267784,19,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.415549194,9.944572176,-7.60090246,6.907755279,0.844242291,0.142058777,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.309566276,9.872326997,-7.60090246,6.907755279,0.845944976,0.034006717,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.417806109,9.955254552,-7.60090246,6.907755279,0.902397285,0.156056416,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.421660749,9.97214029,-7.60090246,6.907755279,0.82890874,0.106391073,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.353759217,9.907193105,-7.60090246,6.907755279,0.852442687,0.132563511,37,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.463671011,10.01329361,-7.60090246,6.907755279,0.859999662,0.104999473,19,TRUE
