dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,11.11937905,3.465735903,0.591484353,4.150202468,-7.60090246,11.00209984,0.83780283,-1.541694379,71,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.639225918,6.177260417,-7.60090246,11.00209984,0.84637697,-1.456681672,86,TRUE
MNIST,0.0005,50,0.1,11.93548365,3.465735903,0.738823293,4.307543073,-7.60090246,11.00209984,0.833944029,-1.577720122,45,TRUE
MNIST,0.0005,50,0.1,11.81482105,3.465735903,0.704123711,4.278893473,-7.60090246,11.00209984,0.832381125,-1.538797486,44,TRUE
MNIST,0.0005,50,0.1,12.36796188,3.465735903,1.521093128,5.101090888,-7.60090246,11.00209984,0.835027021,-1.472045775,40,TRUE
MNIST,0.0005,50,0.1,12.21535939,3.465735903,0.864209241,4.447669908,-7.60090246,11.00209984,0.836326636,-1.617170725,39,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.517051794,6.111750539,-7.60090246,11.00209984,0.836113595,-1.495481017,91,TRUE
MNIST,0.0005,50,0.1,11.63996332,3.465735903,0.684363123,4.229898938,-7.60090246,11.00209984,0.831403652,-1.532090042,65,TRUE
MNIST,0.0005,50,0.1,11.93548365,3.465735903,0.660678101,4.236120706,-7.60090246,11.00209984,0.833008715,-1.57038655,50,TRUE
MNIST,0.0005,50,0.1,12.50366297,3.465735903,1.477038891,5.061567544,-7.60090246,11.00209984,0.834623209,-1.527243698,37,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.861325053,6.416332887,-7.60090246,11.00209984,0.84636705,-1.496930095,66,TRUE
MNIST,0.0005,50,0.1,11.82095413,3.465735903,1.507143293,5.097638998,-7.60090246,11.00209984,0.827629456,-1.503399088,44,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.680652463,6.230811798,-7.60090246,11.00209984,0.831843633,-1.499961505,84,TRUE
MNIST,0.0005,50,0.1,12.02987232,3.465735903,0.684301816,4.254636422,-7.60090246,11.00209984,0.831849652,-1.52342109,47,TRUE
MNIST,0.0005,50,0.1,11.68082688,3.465735903,1.571088853,5.168730039,-7.60090246,11.00209984,0.830844652,-1.500465419,54,TRUE
MNIST,0.0005,50,0.1,11.11937905,3.465735903,0.496107882,4.09017591,-7.60090246,11.00209984,0.835959417,-1.52768994,71,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.879700337,6.453828978,-7.60090246,11.00209984,0.830151153,-1.487949137,62,TRUE
MNIST,0.0005,50,0.1,11.14836235,3.465735903,1.475592918,5.060702046,-7.60090246,11.00209984,0.834724514,-1.528171207,58,TRUE
MNIST,0.0005,50,0.1,11.68136782,3.465735903,0.723505947,4.294040151,-7.60090246,11.00209984,0.832987777,-1.538834282,57,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.930705182,6.481331995,-7.60090246,11.00209984,0.842152139,-1.49729887,64,TRUE
MNIST,0.0005,50,0.1,12.36796188,3.465735903,1.56688387,5.147696142,-7.60090246,11.00209984,0.838033972,-1.498659413,42,TRUE
MNIST,0.0005,50,0.1,11.82095413,3.465735903,1.714048133,5.267860787,-7.60090246,11.00209984,0.840283292,-1.542151089,49,TRUE
MNIST,0.0005,50,0.1,12.36796188,3.465735903,1.437603153,4.997999782,-7.60090246,11.00209984,0.834001706,-1.577482102,42,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.723492666,6.275807356,-7.60090246,11.00209984,0.848260914,-1.485402624,80,TRUE
MNIST,0.0005,50,0.1,12.61465954,3.465735903,0.627107264,4.181456931,-7.60090246,11.00209984,0.833097746,-1.532927155,38,TRUE
MNIST,0.0005,50,0.1,10.99959671,3.465735903,1.287975396,4.867522124,-7.60090246,11.00209984,0.839398795,-1.476255095,69,TRUE
MNIST,0.0005,50,0.1,11.14836235,3.465735903,1.455481544,5.023641087,-7.60090246,11.00209984,0.835334607,-1.48215928,59,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.732046228,6.298018412,-7.60090246,11.00209984,0.83687494,-1.494344833,63,TRUE
MNIST,0.0005,50,0.1,11.11937905,3.465735903,0.563181875,4.117094772,-7.60090246,11.00209984,0.841536943,-1.527446099,69,TRUE
MNIST,0.0005,50,0.1,11.68136782,3.465735903,0.87454184,4.436679817,-7.60090246,11.00209984,0.833839228,-1.518417216,57,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.839680391,6.438652814,-7.60090246,11.00209984,0.832797765,-1.481913043,65,TRUE
MNIST,0.0005,50,0.1,11.24324047,3.465735903,0.619390184,4.191583663,-7.60090246,11.00209984,0.832765004,-1.487779115,57,TRUE
